
		/////////////////////////////////////////////////////////////////////////////////////////////////
        //                                                                                             //
        //      Need Help? The Trader Mod has its own Channel on the DayZ Modders Discord Server!      //
        //                                                                                             //
        //      Only Singleline Comments work. Don't use Multiline Comments!                           //
        //      /* THIS COMMENT WILL CRASH THE SERVER! */                                              //
        //      // THIS COMMENT WORKS!                                                                 //
        //                                                                                             //
        /////////////////////////////////////////////////////////////////////////////////////////////////

	<CurrencyName> #tm_ruble												// Currency Name (Only used for the Text in the upper right Corner of the Trader Menu)
		<Currency> MoneyRuble1, 	1										// Currency Classname, Currency Money Value
		<Currency> MoneyRuble5, 	5
		<Currency> MoneyRuble10, 	10
		<Currency> MoneyRuble25, 	25
		<Currency> MoneyRuble50, 	50
		<Currency> MoneyRuble100, 	100


<Trader> Consume Trader														// Trader Name (first Trader has ID = 0, second Trader has ID = 1, and so on..)
	<Category> Vegetables													// Category Name
		CaninaBerry,								*,		1,			-1	// Item Classname, Quantity, Buyvalue, Sellvalue
		SambucusBerry,								*,		1,			-1	// Quantity * means max value; Quantity V means Vehicle; Quantity VNK means Vehicle without Key; Quantity M means Magazine; Quantity W means Weapon; Quantity S means Steack Meat; Quantity K means Key Duplication
		Plum,										*,		10,			-1	// Buyvalue -1 means it can not be bought
		Kiwi,										*,		10,			-1	// Sellvalue -1 means it can not be selled					  
		
	<Category> Fire & Lights
		Chemlight_Blue,								*,		20,			1
		Chemlight_Green,							*,		20,			1
		Chemlight_Red,								*,		20,			1
		Chemlight_White,							*,		20,			1
		Chemlight_Yellow,							*,		20,			1
		Roadflare,									*,		100,		40
		Matchbox,									*,		60,			3
		PetrolLighter,								*,		120,		6
		Flashlight,									*,		150,		5
		PortableGasLamp,							*,		450,		10
		PortableGasStove,							*,		550,		15
		Headtorch_Black,							*,		400,		20
		Headtorch_Grey,								*,		400,		20
		Spotlight,									*,		6000,		200
		FireworksLauncher,							*,		4500,		350
	
	<Category> Cooking & Hunting Supplies
		PurificationTablets,						*,		50,			2
		CanOpener,									*,		100,		40
		Compass,									*,		100,		40
		OrienteeringCompass,						*,		100,		40
		Loftd_Militarycompass,						*,		200,		90
		Binoculars,									M,		175,		15		
		ChernarusMap,								*,		150,		50
		Pot,										M,		250,		25
		FryingPan,									M,		175,		15
		Tripod,										*,		350,		25
		BearTrap,									*,		1500,		100
		FishNetTrap,								*,		500,		150
		FishingRod,									*,		500,		150
		Hook,										*,		50,			15
		br_sleepingbag,								*,		50000,		1000
		MediumTent,									*,		3000,		500
		MediumTent_Green,							*,		3000,		500
		MediumTent_Orange,							*,		3000,		500
		CarTent,									*,		5000,		700
		LargeTent,									*,		7000,		1200
		PartyTent,									*,		7000,		1200
		PartyTent_Blue,								*,		7000,		1200
		PartyTent_Brown,							*,		7000,		1200
		PartyTent_Lunapark,							*,		7000,		1200

	<Category> Security Items
		CombinationLock,							*,		3000,		225
		CombinationLock4,							*,		3500,		250
		CodeLock,		       						*,		5550,		400
		Lockpick,									*,		2000,		200
		
	<Category> Hardware Supplies
		Paper,										*,		1,			0
		Pen_Blue,									*,		20,			1
		Pen_Black,									*,		20,			1
		Pen_Red,									*,		20,			1
		Pen_Green,									*,		20,			1
		Pen_Pink,									*,		20,			1
		Pen_Purple,									*,		20,			1
		Pen_Orange,									*,		20,			1
		Rope,										*,		40,			3
		MetalWire,									*,		150,		6
		EpoxyPutty,									*,		150,		6
		DuctTape,									*,		200,		8
		XmasLights,									*,		250,		10
		HandcuffKeys,								*,		350,		12
		Handcuffs,									*,		500,		15
		Netting,									1,		500,		10
		BurlapSack,									*,		500,		10
		WoodenPlank,								10,		500,		15
		MetalPlate,									10,		1200,		18
		SmallProtectorCase,							*,		700,		30
		AmmoBox,									*,		200,		35
		SmallGasCanister,							*,		800,		35
		MediumGasCanister,							*,		1000,		40
		LargeGasCanister,							*,		2000,		70
		CanisterGasoline,							*,		25000,		2500
		NailBox,									*,		3000,		250
		BarbedWire,									*,		4500,		200
		Camonet,									*,		6000,		250
		Chopper_Coffin,								M,		3000,		1000
		Chopper_Coffin_2,							M,		3000,		1000
		BarrelHoles_Blue,							*,		1000,		300
		BarrelHoles_Green,							*,		1000,		300
		BarrelHoles_Red,							*,		1000,		300
		BarrelHoles_Yellow,							*,		1000,		300
		Barrel_Blue,								M,		3000,		350
		Barrel_Green,								M,		3000,		350
		Barrel_Red,									M,		3000,		350
		Barrel_Yellow,								M,		3000,		350
		SeaChest,									*,		2000,		400
		AlarmClock_Blue,							*,		300,		150
		AlarmClock_Green,							*,		300,		150
		AlarmClock_Red,								*,		300,		150
		KitchenTimer,								*,		300,		150

	<Category> Advanced Barrels
		YK_RepairBarrel,		   	   				*,		50000,		3000
		YK_ReloadBarrel,		   	   				*,		50000,		3000
		YK_TrashCanBarrel,		   	   				*,		10000,		2000
	
	<Category> Seeds & Lime
		TomatoSeedsPack,							*,		40, 		10
		PepperSeedsPack,							*,		40, 		10
		ZucchiniSeedsPack,							*,		60, 		20
		PumpkinSeedsPack,							*,		100, 		30
		GardenLime,									*,		450,		70
		AntiPestsSpray,								*,		1500,		350
		
	<Category> Fluffy Pets <3
		Bear_Beige,									*,		50,			10
		Bear_Dark,									*,		50,			10
		Bear_Pink,									*,		50,			10
		Bear_White,									*,		50,			10
		
	<Category> Flags
		Flag_APA,									*,		500,		150
		Flag_Altis,									*,		500,		150
		Flag_BabyDeer,								*,		500,		150
		Flag_Bear,									*,		500,		150
		Flag_Bohemia,								*,		500,		150
		Flag_BrainZ,								*,		500,		150
		Flag_CDF,									*,		500,		150
		Flag_CHEL,									*,		500,		150
		Flag_CMC,									*,		500,		150
		Flag_Cannibals,								*,		500,		150
		Flag_Chedaki,								*,		500,		150
		Flag_Chernarus,								*,		500,		150
		Flag_DayZ,									*,		500,		150
		Flag_HunterZ,								*,		500,		150
		Flag_Livonia,								*,		500,		150
		Flag_LivoniaArmy,							*,		500,		150
		Flag_LivoniaPolice,							*,		500,		150
		Flag_NAPA,									*,		500,		150
		Flag_NSahrani,								*,		500,		150
		Flag_Pirates,								*,		500,		150
		Flag_RSTA,									*,		500,		150
		Flag_Refuge,								*,		500,		150
		Flag_Rooster,								*,		500,		150
		Flag_SSahrani,								*,		500,		150
		Flag_Snake,									*,		500,		150
		Flag_TEC,									*,		500,		150
		Flag_UEC,									*,		500,		150
		Flag_White,									*,		500,		150
		Flag_Wolf,									*,		500,		150
		Flag_Zenit,									*,		500,		150
				
	<Category> Viking Gear
		rag_viking_drinkhorn,           			*,    	1000,  		750
		rag_viking_firepit_kit,         			*,    	5000, 		2500
		rag_viking_sundial_kit,         			*,    	5000,  		2500
		rag_viking_lantern,             			*,    	2500,  		1000
		viking_shelter_kit,             			*,    	50000, 		12000
		rag_viking_pot,                				M,    	1000,  		500
		rag_viking_table_kit,           			*,    	1300,  		750
		rag_viking_warbanner_kit,       			*,    	3000,  		800
		rag_viking_horn,                			*,    	3000,  		750
		rag_viking_mug,                 			*,    	1000,  		750

	<Category> MSP Deco
		Msp_SleepingBag_Green,									*,		120,		55
		Msp_SleepingBag_Blue,									*,		120,		55
		Msp_SleepingBag_LimeGreen,								*,		120,		55
		Msp_SleepingBag_Orange,									*,		120,		55
		Msp_SleepingBag_Purple,									*,		120,		55
		Msp_SleepingBag_Red,									*,		120,		55
		Msp_Mattress_Blue,										*,		120,		55
		Msp_Mattress_Green,										*,		120,		55
		Msp_Mattress_Pink,										*,		120,		55
		Msp_Mattress_Yellow,									*,		120,		55
		Msp_DeskClock,											*,		120,		55
		Msp_Shelf_Kit,											*,		120,		55
		Msp_WoodenTable_Kit,									*,		120,		55
		Msp_WoodenChair,										*,		120,		55
		Msp_RoomDivider_Kit,									*,		120,		55
		Msp_HousePlant_Philodendron,							*,		120,		55
		Msp_HousePlant_FicusTree,								*,		120,		55
		Msp_HousePlant_RubberFig,								*,		120,		55
		Msp_HousePlant_Succulent,								*,		120,		55

	<Category> MSP Beach Toys
		Msp_BeachBall,                   						*,		250,		75
		Msp_BeachChair_Kit,                   					*,		250,		75
		Msp_BeachUmbrella,                   					*,		250,		75
		Msp_BeachUmbrella_Stripes,                   			*,		250,		75
		Msp_Floatie_Wheel,                   					*,		250,		75
		Msp_Floatie_Unicorn,                   					*,		250,		75
		Msp_Floatie_Unicorn_Rainbow,                   			*,		250,		75 
		Msp_Floatie_Unicorn_BlueRainbow,                   		*,		250,		75 
		Msp_Floatie_Unicorn_GreenRainbow,                   	*,		250,		75 
		Msp_Floatie_Unicorn_PurpleRainbow,                   	*,		250,		75 
		Msp_Floatie_Flamingo,                   				*,		250,		75
		Msp_KiddiePool_Kit,                   					*,		250,		75
		Msp_KiddiePool_Pink_Kit,                   				*,		250,		75
		Msp_KiddiePool_Yellow_Kit,                   			*,		250,		75
		Msp_VolleyballNet_Kit,                   				*,		250,		75
		Msp_Volleyball,                   						*,		250,		75
		
	<Category> MSP Utilies
		Msp_Gazebo_Kit,								*,		5000,			2500	
		Msp_StoneFireplace_Kit,						*,		5000,			2500	
		Msp_FireplaceRailing,						*,		5000,			2500	

	<Category> MSP Garden
		Msp_PlanterBox,								*,		200,		65
		Msp_SquarePlanterBox,						*,		200,		65
		Msp_EmptySquarePlanterBox,					*,		200,		65
		Msp_EmptyPlanterBox,						*,		200,		65
		Msp_Greenhouse_Kit,							*,		200,		65
		Msp_GreenhouseWood_Kit,						*,		200,		65

	<Category> MSP Fridges
		Msp_MoskvaFridge_Blue_Kit,					*,		120,		55
		Msp_MoskvaFridge_Cream_Kit,					*,		120,		55
		Msp_MoskvaFridge_Red_Kit,					*,		120,		55
		Msp_SovietOkaFridge_Kit,					*,		120,		55
		Msp_SnowballFridge_Kit,						*,		120,		55

	<Category> MSP Storage
		Msp_LargeAmmoBox,							*,		500,			250	
		Msp_GrenadeBox,								*,		500,			250	
		Msp_TackleBox,								*,		500,			250	
		Msp_TackleBox_Black,						*,		500,			250	 
		Msp_CoolerBox,								*,		500,			250	 
		Msp_CoolerBox_Black,						*,		500,			250	 
		Msp_Basket_Rectangular,						*,		500,			250	 
		Msp_Basket_Wicker,							*,		500,			250	
		Msp_MedievalChest,							*,		500,			250	 
		Msp_TreasureChest,							*,		500,			250	
		Msp_AmericanAppleCrate,						*,		500,			250	
		Msp_AppleCrate,								*,		500,			250	 
		Msp_PlasticCrate,							*,		500,			250	 
		Msp_AmmoCrate,								*,		500,			250	 
		Msp_MilitaryCrate_Brown,					*,		500,			250	
		Msp_MilitaryCrate_Green,					*,		500,			250	
		Msp_MilitaryCrate_Grey,						*,		500,			250	
		Msp_MilitaryCrate_Olive,					*,		500,			250	
		Msp_MilitaryCrate_Tan,						*,		500,			250	

	<Category> MSP Kit Storage
		Msp_StorageBox_Kit,							*,		500,			250		
		Msp_Locker_Kit,								*,		500,			250	
		Msp_SoloLocker_Kit,							*,		500,			250	
		Msp_SoloLocker_Black_Kit,					*,		500,			250	
		Msp_SoloLocker_White_Kit,					*,		500,			250	
		Msp_SoloLocker_Green_Kit,					*,		500,			250	
		Msp_SoloLocker_Red_Kit,						*,		500,			250	
		Msp_SoloLocker_RedRusty_Kit,				*,		500,			250	
		Msp_SoloLocker_Yellow_Kit,					*,		500,			250	
		Msp_SoloLocker_YellowRusty_Kit,				*,		500,			250	
		Msp_OldLocker_Kit,							*,		500,			250	
		Msp_OldLocker_Green_Kit,					*,		500,			250	
		Msp_RifleSafe_Kit,							*,		5000,			2500	
		Msp_RifleSafe_Grey_Kit,						*,		5000,			2500	
		Msp_RifleSafe_Green_Kit,					*,		5000,			2500	
		Msp_RifleSafe_Purple_Kit,					*,		5000,			2500	
		Msp_RifleSafe_Tan_Kit,						*,		5000,			2500	
		Msp_Safe,									*,		3000,			1500	 
		Msp_ToolsBench_Blue_Kit,					*,		500,			250	
		Msp_ToolsBench_Grey_Kit,					*,		500,			250	
		Msp_ToolsBench_Red_Kit,						*,		500,			250
		Msp_Bookcase_Kit,							*,		500,			250	
		Msp_Mailbox,								*,		500,			250	
		Msp_TrashCan,								*,		500,			250	
		Msp_MedicalBox_Kit,							*,		500,			250	
		Msp_Wardrobe_Brown_Kit,						*,		500,			250	
		Msp_Wardrobe_Green_Kit,						*,		500,			250	
		Msp_Wardrobe_White_Kit,						*,		500,			250	

	<Category> MSP Waterbarrels
		Msp_WaterBarrel_Stand,		   	   				*,		2000,		200
		Msp_WaterBarrel_Stand_Darkwood,		   	   				*,		2000,		200
		Msp_WaterBarrel,		   	   				*,		2000,		200
		Msp_WaterBarrel_Plastic,		   	   				*,		2000,		200
		Msp_WaterBarrel_Plastic_Yellow,		   	   				*,		2000,		200
		Msp_WaterBarrel_Plastic_Green,		   	   				*,		2000,		200
		Msp_WaterBarrel_Plastic_Red,		   	   				*,		2000,		200
		Msp_WaterBarrel_Plastic_Black,		   	   				*,		2000,		200
		Msp_WaterBarrel_Plastic_White,		   	   				*,		2000,		200
		Msp_WaterBarrel_Darkwood,		   	   				*,		2000,		200
		Msp_WaterBarrel_Valve,		   	   				*,		2000,		200
		Msp_WaterBarrel_Valve_Darkwood,		   	   				*,		2000,		200
		Msp_WaterBarrel_Valve_Faucet,		   	   				*,		2000,		200

	<Category> LOFTD Plants
		Ririteo_aglomena,									*,		1000,		455
		Ririteo_basil,									*,		1000,		455
		Ririteo_basilpeas,									*,		1000,		455
		Ririteo_bigfern,									*,		1000,		455
		Ririteo_crassula,									*,		1000,		455
		Ririteo_fern,									*,		1000,		455
		Ririteo_monstera,									*,		1000,		455
		Ririteo_pilea,									*,		1000,		455
		Ririteo_pothos,									*,		1000,		455
		Ririteo_plantbox,									*,		1000,		455
		Ririteo_stand_flowers,									*,		1000,		455
		Ririteo_stand_flowers_diss,									*,		1000,		455

	<Category> BBP Classic Build Kits
		BBP_T1_WallKit,									*,		2000,		650
		BBP_T1_Wall_HalfKit,							*,		2000,		650
		BBP_T1_DoorKit,									*,		3000,		650
		BBP_T1_GateKit,									*,		4000,		650
		BBP_T1_WindowKit,								*,		3000,		650
		BBP_T1_RoofKit,									*,		2000,		650
		BBP_T1_FloorKit,								*,		2000,		650
		BBP_T1_Floor_HatchKit,							*,		3000,		650
		BBP_T1_StairKit,								*,		3000,		650
		BBP_T1_RampKit,									*,		3000,		650
		BBP_T1_Roof_HatchKit,							*,		3000,		650
		BBP_T1_Ramp_WideKit,							*,		3000,		650
		BBP_T1_FoundationKit,							*,		3000,		650
		BBP_T2_WallKit,									*,		4000,		900
		BBP_T2_Wall_HalfKit,							*,		4000,		900
		BBP_T2_DoorKit,									*,		6000,		900
		BBP_T2_GateKit,									*,		8000,		900
		BBP_T2_RoofKit,									*,		4000,		900
		BBP_T2_FloorKit,								*,		4000,		900
		BBP_T2_WindowKit,								*,		6000,		900
		BBP_T2_FoundationKit,							*,		6000,		900
		BBP_T2_Roof_HatchKit,							*,		6000,		900
		BBP_T2_StairKit,								*,		6000,		900
		BBP_PillarKit,									*,		2000,		500
		BBP_Sun_Shade,									*,		600,		300
		
			<Category> BBP Decor
		BBP_Wood_Storage,								*,		1000,		500
		BBP_Old_Lamp,									*,		600,		300
		BBP_Floor_Lamp,									*,		800,		400
		BBP_Painting,									*,		200,		100
		BBP_Painting_1,									*,		200,		100
		BBP_Painting_2,									*,		200,		100
		BBP_Xmas_Tree,									*,		400,		200
		BBP_MagnetBox,									*,		100,		50
		BBP_Letter_Large_A,								*,		100,		50
		BBP_Letter_Large_B,								*,		100,		50
		BBP_Letter_Large_C,								*,		100,		50
		BBP_Letter_Large_D,								*,		100,		50
		BBP_Letter_Large_E,								*,		100,		50
		BBP_Letter_Large_F,								*,		100,		50
		BBP_Letter_Large_G,								*,		100,		50
		BBP_Letter_Large_H,								*,		100,		50
		BBP_Letter_Large_I,								*,		100,		50
		BBP_Letter_Large_J,								*,		100,		50
		BBP_Letter_Large_K,								*,		100,		50
		BBP_Letter_Large_L,								*,		100,		50
		BBP_Letter_Large_M,								*,		100,		50
		BBP_Letter_Large_N,								*,		100,		50
		BBP_Letter_Large_O,								*,		100,		50
		BBP_Letter_Large_P,								*,		100,		50
		BBP_Letter_Large_Q,								*,		100,		50
		BBP_Letter_Large_R,								*,		100,		50
		BBP_Letter_Large_S,								*,		100,		50
		BBP_Letter_Large_T,								*,		100,		50
		BBP_Letter_Large_U,								*,		100,		50
		BBP_Letter_Large_V,								*,		100,		50
		BBP_Letter_Large_W,								*,		100,		50
		BBP_Letter_Large_X,								*,		100,		50
		BBP_Letter_Large_Y,								*,		100,		50
		BBP_Letter_Large_Z,								*,		100,		50
		BBP_Golf,										*,		80,			40
		BBP_Carpet,										*,		200,		100
		BBP_Wallpaper,									*,		200,		100
		BBP_BedKit,										*,		200000,		5000
		BBP_Bedding,									*,		120,		60
		BBP_Step_LadderKit,								*,		800,		400
		BBP_Plaster,									*,		200,		100
		BBP_Wheelbarrow,								*,		400,		200
		BBP_Toilet,										*,		600,		300
		BBP_SofaKit,									*,		800,		400
		BBP_Dance_FloorKit,								*,		400,		200

	<Category> Hunter Machines
		HM_Arcade_Kit,					*,		-1,			5000
		HM_Printer_Kit,					*,		500000,			5000
		HM_WashMachine_Kit,				*,		10000,			5000
		HM_Recycler_Kit,				*,		100000,			5000
		HM_Trash_Kit,					*,		10000,			5000
		HM_PC_Kit,						*,		250000,			5000
		
	<Category> Hunter Machine Components 
		HM_Resin,                       *,		1200,			500	
		HM_Detergent,                   *,		25,				15		
		HM_GPU,                         *,		17000,			5000
		HM_PSU,                  		*,		5000,			2500	
		
	<Category> Hunter Base items 
		HM_Container_Kit,                     *,		100000,			50000	
		HM_Barrel_Kit,              	      *,		5000,			2500	
		HM_AmmoCrate_Kit,                     *,		5000,			2500	
		HM_MilitaryCrate_Kit,                 *,		5000,			2500	
		HM_ToolBox_Kit,                       *,		5000,			2500	
		HM_Trolley_Kit,                       *,		5000,			2500		
		HM_AirDrop_Kit,                       *,		5000,			2500
		HM_Locker_Kit,                        *,		5000,			2500
		HM_Shelf_Kit,                         *,		5000,			2500
				
	<Category> Hunter Repair Plus
		HM_Rasp,                       *,		1000,			500
		
	<Category> Hunter Simple Paint
		HM_Spraycan_Multi,             *,		1000,			500

<Trader> Weapon Trader

	<Category> Melee	
		BrassKnuckles_Shiny,						W,		220,		60
		Pitchfork,									W,		300,		50
		Broom,										W,		250,		50
		Broom_Birch,								W,		250,		75
		BaseballBat,								W,		350,		100
		NailedBaseballBat,							W,		450,		150
		BarbedBaseballBat,							W,		450,		150
		Sword,                 						*,    	4500,  		600
		Mace,                 						*,    	4500,  		600

	<Category> MSP Melee
		Msp_BeanBasher,							W,		450,		150
		Msp_PipeAxe,							W,		450,		150
		Msp_PlainBat,							W,		450,		150
		Msp_PlainBat_Blue,							W,		450,		150
		Msp_PlainBat_Black,							W,		450,		150
		Msp_GoodNightBat,							W,		450,		150
		Msp_VorpalKnife,							W,		450,		150
		Msp_BlunderBat,							W,		450,		150
		Msp_BaseballBat,							W,		450,		150
		Msp_BaseballBat_SawBarbedWire,							W,		450,		150
		Msp_BaseballBat_Chain,							W,		450,		150
		Msp_BaseballBat_Nailed,							W,		450,		150
		Msp_BaseballBat_BarbedWire,							W,		450,		150
		Msp_Sawblade,							W,		450,		150
				
	<Category> Viking Weapons
		rag_viking_axe,                 			*,    	4500,  		600
		rag_viking_spear,                 			*,    	4500,  		600
		rag_viking_knife,               			*,    	3750,  		250
		rag_viking_halbert,             			*,    	6500,  		500
		rag_viking_hammer,              			*,    	6500,  		550
		rag_viking_shield,              			*,    	4500,  		500
		rag_viking_hatchet,             			*,    	6500,  		500
		rag_viking_dagger,              			*,    	6250,  		500
		rag_viking_armwrist,            			*,    	1250,  		500
		rag_viking_sword,               			*,    	6500,  		600
		rag_viking_flamberge_sword,     			*,    	-1,  		5000
		rag_viking_axe_doubled,         			*,    	-1,  		5500
		rag_viking_dragonslayer_axe,    			*,    	-1,  		6500
		CC_Vaxe,                 					*,    	4500,  		600
		CC_Cutlass,               					*,    	6500,  		600
		CC_Spear,             						*,    	6500,  		500
		CC_Warhammer,              					*,    	6500,  		550
		CC_Katar,               					*,    	6500,  		600
		CC_Sebsword,               					*,    	6500,  		600

	<Category> Loftd melee
		Loftd_caseaxes_brown,						*,		1000,		100
		Loftd_caseaxes_dark,						*,		1000,		100
		Loftd_tacticalaxecase_camo,					*,		1000,		100
		Loftd_tacticalaxecase_dubok,				*,		1000,		100
		Loftd_tacticalaxecase_winter,				*,		1000,		100
		Loftd_swordscabbard,						*,		500,		250
		Loftd_axe,									*,		500,		250
		Loftd_tacticalaxe,							*,		500,		250
		Loftd_tacticalaxe_black,					*,		500,		250
		Loftd_roughsword,							*,		500,		250
		Loftd_dragonkatana,							*,		-1,			2500
		Loftd_michonnekatana,						*,		-1,			2500
		Loftd_sakurakatana,							*,		-1,			2500
		Loftd_dragonkatanascabbard,					*,		500,		250
		Loftd_michonnekatanascabbard,				*,		500,		250
		Loftd_sakurascabbard,						*,		500,		250
	
	<Category> Sidearms
		Flaregun,               					W,		80,			40
		MakarovIJ70,            					W,		300,		150
		CZ75,                   					W,		600,		150
		FNX45,                  					W,		1000,		375
		TF_MP443,			    					W,		799,		399
		P1,                     					W,		550,		275
		Glock19,                					W,		500,		250
		MKII,                   					W,		450,		225
		Colt1911,               					W,		1000,		375
		Engraved1911,           					W,		2000,		500
		Derringer_Black,        					W,		260,		130
		Derringer_Grey,         					W,		260,		130
		Derringer_Pink,         					W,		260,		130
		Longhorn,               					W,		1750,		550
		Magnum,                 					W,		2500,		625
		TF_MakarovPB,								W,		159,		79
		CC_ClaudiaPistol,                   		W,		500,		120
		CC_HKP7,                   					W,		600,		150
		CC_VP70,                					W,		500,		250
		CC_Ruger,              						W,		2000,		500
		Msp_Water_Gun,                 				W,		2500,		625
		
	<Category> Rifles
		Izh18,				   						W,		4500,		1750
		Mosin9130,             						W,		12500,		4250
		Mosin9130_Black,       						W,		12500,		4250
		Mosin9130_Camo,        						W,		12500,		4250
		Mosin9130_Green,       						W,		12500,		4250
		Scout_Chernarus,       						W,		10000,		3750
		Scout,                 						W,		10000,		3750
		B95,										W,		16500,		6500
		SSG82,										W,		8000,		3750
		TF_M1A_Black,								W,		17500,		5500
		TF_M1A_OD,			    					W,		17500,		5500
		TF_M1A_Tan,			    					W,		17500,		5500
		CZ527,                 						W,		8500,		3000
		CZ550,                 						W,		16500,		6500
		Winchester70,          						W,		16500,		6500
		Repeater,              						W,		3250,		1250
		SKS,                   						W,		8500,		3500
		Ruger1022,             						W,		1750,		500
		TF_VPO136,			    					W,		6750,		3000
		TF_VPO190,			   						W,		6500,		2750
		CC_Carcano,                 				W,		10000,		3500
		CC_Showstopper,			    				W,		9000,		3000
																								
	<Category> Shotguns and Bows
		Mp133Shotgun,								W,		3500,		1500
		Crossbow_Autumn,							W,		3500,		1500
		Crossbow_Black,								W,		3500,		1500
		Crossbow_Summer,							W,		3500,		1500
		Crossbow_Wood,								W,		3500,		1500
		Izh43Shotgun,								W,		3000,		1250
		Izh18Shotgun,								W,		3000,		1250
		CC_1887,									W,		4000,		2000
		
	<Category> Submachine Guns
		CZ61,										W,		2500,		750
		UMP45,										W,		3750,		1750
		PP19,										W,		3250,		1500
		MP5K,										W,		3250,		1500
		AKS74U,										W,		4000,		2000
		AKS74U_Black,								W,		4000,		2000
		AKS74U_Green,								W,		4000,		2000
		TF_AKS74U,			    					W,		7250,		2750
		CC_Mac10,									W,		3250,		1500
		CC_Mors,									W,		3250,		1500
		CC_Thompson,								W,		5000,		1250
		
	<Category> Assault Rifles
		FAMAS,										W,		6500,		3000
		AKM,										W,		8500,		4000
		AK101,										W,		7500,		3500
		AK101_Black,								W,		7500,		3500
		AK101_Green,								W,		7500,		3500
		AK74,										W,		4500,		2250
		AK74_Black,									W,		4500,		2250
		AK74_Green,									W,		4500,		2250
		M4A1,										W,		7500,		3500
